symbol,market,display_symbol
3MINDIA.NS,India,3MINDIA
AADHARHFC.NS,India,AADHARHFC
AARTIIND.NS,India,AARTIIND
AAVAS.NS,India,AAVAS
ABB.NS,India,ABB
ABBOTINDIA.NS,India,ABBOTINDIA
ABCAPITAL.NS,India,ABCAPITAL
ABDL.NS,India,ABDL
ABFRL.NS,India,ABFRL
ABLBL.NS,India,ABLBL
ABREL.NS,India,ABREL
ABSLAMC.NS,India,ABSLAMC
ACC.NS,India,ACC
ACE.NS,India,ACE
ACMESOLAR.NS,India,ACMESOLAR
ACUTAAS.NS,India,ACUTAAS
ADANIENSOL.NS,India,ADANIENSOL
ADANIENT.NS,India,ADANIENT
ADANIGREEN.NS,India,ADANIGREEN
ADANIPORTS.NS,India,ADANIPORTS
ADANIPOWER.NS,India,ADANIPOWER
AEGISLOG.NS,India,AEGISLOG
AEGISVOPAK.NS,India,AEGISVOPAK
AFCONS.NS,India,AFCONS
AFFLE.NS,India,AFFLE
AIAENG.NS,India,AIAENG
AIIL.NS,India,AIIL
AJANTPHARM.NS,India,AJANTPHARM
AKZOINDIA.NS,India,AKZOINDIA
ALKEM.NS,India,ALKEM
AMBER.NS,India,AMBER
AMBUJACEM.NS,India,AMBUJACEM
ANANDRATHI.NS,India,ANANDRATHI
ANANTRAJ.NS,India,ANANTRAJ
ANGELONE.NS,India,ANGELONE
ANTHEM.NS,India,ANTHEM
ANURAS.NS,India,ANURAS
APARINDS.NS,India,APARINDS
APLAPOLLO.NS,India,APLAPOLLO
APOLLOHOSP.NS,India,APOLLOHOSP
APOLLOTYRE.NS,India,APOLLOTYRE
APTUS.NS,India,APTUS
ARE&M.NS,India,ARE&M
ASAHIINDIA.NS,India,ASAHIINDIA
ASHOKLEY.NS,India,ASHOKLEY
ASIANPAINT.NS,India,ASIANPAINT
ASTERDM.NS,India,ASTERDM
ASTRAL.NS,India,ASTRAL
ATGL.NS,India,ATGL
ATHERENERG.NS,India,ATHERENERG
ATUL.NS,India,ATUL
AUBANK.NS,India,AUBANK
AUROPHARMA.NS,India,AUROPHARMA
AWL.NS,India,AWL
AXISBANK.NS,India,AXISBANK
BAJAJ-AUTO.NS,India,BAJAJ-AUTO
BAJAJFINSV.NS,India,BAJAJFINSV
BAJAJHFL.NS,India,BAJAJHFL
BAJAJHLDNG.NS,India,BAJAJHLDNG
BAJFINANCE.NS,India,BAJFINANCE
BALKRISIND.NS,India,BALKRISIND
BALRAMCHIN.NS,India,BALRAMCHIN
