Symbol,Market,Signal,Close,EMA20,EMA30,Volume Confirm,Close > EMA20,Close > EMA30,EMA20 > EMA30,Bar Date
XOM,USA,BREAKOUT BUY,151.7100067138672,144.59143594408653,141.725529950372,False,True,True,True,2026-07-17
AAPL,USA,WATCH,327.739990234375,295.1470965639314,285.82608514590163,False,True,True,True,2026-04-10
AMD,USA,WATCH,544.4299926757812,429.95411361834516,381.80944065280266,False,True,True,True,2026-04-03
AMZN,USA,WATCH,247.5500030517578,243.1490460741356,239.60867818818826,False,True,True,True,2026-07-03
GOOG,USA,WATCH,346.19000244140625,345.6162631097299,333.5577769056047,False,True,True,True,2026-07-03
INTC,USA,WATCH,105.44999694824219,96.2707623052384,85.2532389040385,False,True,True,True,2026-07-24
JNJ,USA,WATCH,250.61000061035156,238.62717003941256,231.36936790102777,False,True,True,True,2026-06-05
JPM,USA,WATCH,345.2300109863281,317.94153155865354,312.27409321937216,False,True,True,True,2026-06-05
LLY,USA,WATCH,1175.4100341796875,1086.3204945646992,1050.0540185369257,False,True,True,True,2026-05-15
MU,USA,WATCH,970.8200073242188,777.7767851525584,673.9959180125921,False,True,True,True,2025-08-08
NVDA,USA,WATCH,207.2899932861328,200.2659116954306,195.8339870916806,False,True,True,True,2026-07-10
V,USA,WATCH,355.82000732421875,334.02842034098717,331.66460365217006,False,True,True,True,2026-05-15
